# x_m, y_m, w_tr_right_m, w_tr_left_m
-24.00560889422958, 14.20324188876889, 10.0, 10.0
-24.557187606092228, 14.337419908516257, 10.0, 10.0
-25.088149542402178, 14.538223888938388, 10.0, 10.0
-25.595548559437887, 14.79276082903665, 10.0, 10.0
-26.0786376625956, 15.090867747395897, 10.0, 10.0
-26.537746864201836, 15.424726336268305, 10.0, 10.0
-26.97363423766984, 15.788381411875049, 10.0, 10.0
-27.387131509356234, 16.177306626628855, 10.0, 10.0
-27.778957888705435, 16.588055826030974, 10.0, 10.0
-28.14962408879319, 17.017996966741975, 10.0, 10.0
-28.49938118147676, 17.465113050640696, 10.0, 10.0
-28.828188533983052, 17.92785330315952, 10.0, 10.0
-29.135686068429823, 18.40502002734777, 10.0, 10.0
-29.532201229589948, 18.81124477220403, 10.0, 10.0
-29.99037375913686, 19.14638765148386, 10.0, 10.0
-30.489613538511225, 19.41657732385055, 10.0, 10.0
-31.015632277322084, 19.62999499599421, 10.0, 10.0
-31.558891595279103, 19.794652609897287, 10.0, 10.0
-32.11310213379157, 19.917508197336783, 10.0, 10.0
-32.67409808919522, 20.004262761390375, 10.0, 10.0
-33.239074379521455, 20.05944072558434, 10.0, 10.0
-33.8060906460362, 20.086558429599474, 10.0, 10.0
-34.37375233391424, 20.088297532485104, 10.0, 10.0
-34.94100391249593, 20.06665352731126, 10.0, 10.0
-35.50699132336959, 20.02305229916441, 10.0, 10.0
-36.07096612352044, 19.958436193136663, 10.0, 10.0
-36.63221352574046, 19.873323503926056, 10.0, 10.0
-37.19678813518295, 19.814176849445484, 10.0, 10.0
-37.76313765735403, 19.775562925791213, 10.0, 10.0
-38.33037509029951, 19.75355131456446, 10.0, 10.0
-38.897979182536304, 19.74528023002661, 10.0, 10.0
-39.465633517666184, 19.74865249508673, 10.0, 10.0
-40.03313795832672, 19.762125660786037, 10.0, 10.0
-40.600358528069656, 19.78456762201662, 10.0, 10.0
-41.167198084505955, 19.815157385377713, 10.0, 10.0
-41.733578386985435, 19.853317172151687, 10.0, 10.0
-42.29942840162199, 19.89866667379388, 10.0, 10.0
-42.86467589044673, 19.95099346177767, 10.0, 10.0
-43.429240473576684, 20.010235742614032, 10.0, 10.0
-43.995739756947074, 19.973884975026376, 10.0, 10.0
-44.5571704248302, 19.889989674063237, 10.0, 10.0
-45.11449569320414, 19.78214088364214, 10.0, 10.0
-45.669250967703675, 19.66176895261863, 10.0, 10.0
-46.22248371481292, 19.53458269593441, 10.0, 10.0
-46.77481611403778, 19.403541720930846, 10.0, 10.0
-47.32660670758405, 19.270237717850502, 10.0, 10.0
-47.878062895586034, 19.135557024810623, 10.0, 10.0
-48.429306707130905, 19.000009702458375, 10.0, 10.0
-48.98041157008669, 18.863898547919643, 10.0, 10.0
-49.53142276216842, 18.727408685424088, 10.0, 10.0
-50.08236890561552, 18.590656488424724, 10.0, 10.0
-50.633268540382545, 18.45371705372113, 10.0, 10.0
-51.18416817514958, 18.316777619017547, 10.0, 10.0
-51.735067809916615, 18.17983818431396, 10.0, 10.0
-52.28596744468364, 18.04289874961038, 10.0, 10.0
-52.83686707945067, 17.905959314906795, 10.0, 10.0
-53.3877667142177, 17.769019880203214, 10.0, 10.0
-53.938666348984725, 17.63208044549963, 10.0, 10.0
-54.48956598375176, 17.495141010796033, 10.0, 10.0
-55.04046561851879, 17.35820157609245, 10.0, 10.0
